"","mode","income","alt","price","catch","chid"
"1.beach",FALSE,7083.3317,"beach",157.93,0.0678,1
"1.boat",FALSE,7083.3317,"boat",157.93,0.2601,1
"1.charter",TRUE,7083.3317,"charter",182.93,0.5391,1
"1.pier",FALSE,7083.3317,"pier",157.93,0.0503,1
"2.beach",FALSE,1249.9998,"beach",15.114,0.1049,2
"2.boat",FALSE,1249.9998,"boat",10.534,0.1574,2
"2.charter",TRUE,1249.9998,"charter",34.534,0.4671,2
"2.pier",FALSE,1249.9998,"pier",15.114,0.0451,2
"3.beach",FALSE,3749.9999,"beach",161.874,0.5333,3
"3.boat",TRUE,3749.9999,"boat",24.334,0.2413,3
"3.charter",FALSE,3749.9999,"charter",59.334,1.0266,3
"3.pier",FALSE,3749.9999,"pier",161.874,0.4522,3
"4.beach",FALSE,2083.3332,"beach",15.134,0.0678,4
"4.boat",FALSE,2083.3332,"boat",55.93,0.1643,4
"4.charter",FALSE,2083.3332,"charter",84.93,0.5391,4
"4.pier",TRUE,2083.3332,"pier",15.134,0.0789,4
"5.beach",FALSE,4583.332,"beach",106.93,0.0678,5
"5.boat",TRUE,4583.332,"boat",41.514,0.1082,5
"5.charter",FALSE,4583.332,"charter",71.014,0.324,5
"5.pier",FALSE,4583.332,"pier",106.93,0.0503,5
"6.beach",FALSE,4583.332,"beach",192.474,0.5333,6
"6.boat",FALSE,4583.332,"boat",28.934,0.1665,6
"6.charter",TRUE,4583.332,"charter",63.934,0.3975,6
"6.pier",FALSE,4583.332,"pier",192.474,0.4522,6
"7.beach",TRUE,8750.001,"beach",51.934,0.0678,7
"7.boat",FALSE,8750.001,"boat",191.93,0.1643,7
"7.charter",FALSE,8750.001,"charter",220.93,0.5391,7
"7.pier",FALSE,8750.001,"pier",51.934,0.0789,7
"8.beach",FALSE,2083.3332,"beach",15.134,0.0678,8
"8.boat",FALSE,2083.3332,"boat",21.714,0.0102,8
"8.charter",TRUE,2083.3332,"charter",56.714,0.0209,8
"8.pier",FALSE,2083.3332,"pier",15.134,0.0789,8
"9.beach",FALSE,3749.9999,"beach",34.914,0.2537,9
"9.boat",TRUE,3749.9999,"boat",34.914,0.0233,9
"9.charter",FALSE,3749.9999,"charter",53.414,0.0219,9
"9.pier",FALSE,3749.9999,"pier",34.914,0.1498,9
"10.beach",FALSE,2916.6666,"beach",28.314,0.2537,10
"10.boat",TRUE,2916.6666,"boat",28.314,0.0233,10
"10.charter",FALSE,2916.6666,"charter",46.814,0.0219,10
"10.pier",FALSE,2916.6666,"pier",28.314,0.1498,10
"11.beach",FALSE,3749.9999,"beach",34.914,0.1049,11
"11.boat",FALSE,3749.9999,"boat",24.334,0.1574,11
"11.charter",FALSE,3749.9999,"charter",48.334,0.4671,11
"11.pier",TRUE,3749.9999,"pier",34.914,0.0451,11
"12.beach",FALSE,7083.3317,"beach",312.144,0.5333,12
"12.boat",TRUE,7083.3317,"boat",16.722,0.2413,12
"12.charter",FALSE,7083.3317,"charter",51.722,1.0266,12
"12.pier",FALSE,7083.3317,"pier",312.144,0.4522,12
"13.beach",FALSE,1249.9998,"beach",17.862,0.1049,13
"13.boat",FALSE,1249.9998,"boat",4.122,0.0023,13
"13.charter",FALSE,1249.9998,"charter",28.122,0.0046,13
"13.pier",TRUE,1249.9998,"pier",17.862,0.0451,13
